symbol,option_type,strike_price,expiration_date,last_price_usd,bid_price_usd,ask_price_usd,bid_iv,ask_iv,delta,gamma,theta,vega,open_interest,total traded volume,monetary volume
BTC-21MAR25-86000-P,put,86000.0,2025-03-21,4039.6375000000003,4252.25,4422.34,48.51,50.67,-0.51004,4e-05,-99.18816,78.8196,19.7,1.2,4982.7
BTC-21MAR25-87000-C,call,87000.0,2025-03-21,2934.0525000000002,3019.0975,3146.665,48.49,50.13,0.44971,4e-05,-98.25484,78.2174,63.8,31.9,103808.06
BTC-21MAR25-87000-P,put,87000.0,2025-03-21,5272.79,4805.0425000000005,4975.132500000001,48.22,50.4,-0.55029,4e-05,-98.25484,78.2174,5.9,7.0,35990.85
BTC-21MAR25-88000-C,call,88000.0,2025-03-21,2636.395,2636.395,2721.44,48.51,50.17,0.41043,4e-05,-96.47116,76.84901,46.4,9.3,23506.24
BTC-21MAR25-88000-P,put,88000.0,2025-03-21,5570.4475,5400.3575,5570.4475,47.97,50.19,-0.58957,4e-05,-96.47116,76.84901,1.1,1.0,5403.34
BTC-21MAR25-89000-C,call,89000.0,2025-03-21,2296.215,2296.215,2381.26,48.59,49.73,0.37266,4e-05,-93.97141,74.7933,57.9,38.5,81209.56
BTC-21MAR25-89000-P,put,89000.0,2025-03-21,5145.2225,3189.1875,9992.787499999999,0.8,98.98,-0.62734,4e-05,-93.97141,74.7933,0.2,0.0,0.0
BTC-21MAR25-90000-C,call,90000.0,2025-03-21,2126.125,1998.5575000000001,2083.6025,48.76,49.94,0.33653,4e-05,-90.69293,72.12866,60.0,75.0,148788.45
BTC-21MAR25-90000-P,put,90000.0,2025-03-21,0.0,3784.5024999999996,10758.192500000001,0.8,100.74,-0.66347,4e-05,-90.69293,72.12866,0.0,0.0,0.0
BTC-21MAR25-91000-C,call,91000.0,2025-03-21,1700.9,1700.9,1828.4674999999997,48.46,50.31,0.30242,4e-05,-86.84331,68.96526,43.7,3.9,6943.11
BTC-21MAR25-91000-P,put,91000.0,2025-03-21,0.0,4422.34,11523.597500000002,0.8,102.29,-0.69758,4e-05,-86.84245,68.96482,0.0,0.0,0.0
BTC-21MAR25-92000-C,call,92000.0,2025-03-21,1530.81,1488.2875000000001,1573.3325,48.94,50.25,0.271,3e-05,-82.7659,65.46729,34.1,9.1,13490.9
BTC-21MAR25-92000-P,put,92000.0,2025-03-21,0.0,5102.7,12331.525,0.8,104.18,-0.729,3e-05,-82.7659,65.46729,0.0,0.0,0.0
BTC-21MAR25-93000-C,call,93000.0,2025-03-21,1318.1975,1318.1975,1360.72,49.71,50.4,0.24268,3e-05,-78.71115,61.81115,67.9,5.1,6450.42
BTC-21MAR25-93000-P,put,93000.0,2025-03-21,0.0,5825.5825,13181.975,0.8,106.46,-0.75732,3e-05,-78.71063,61.81075,0.0,0.0,0.0
BTC-21MAR25-94000-C,call,94000.0,2025-03-21,1148.1075,1105.585,1190.63,49.37,50.85,0.21679,3e-05,-74.44623,58.02479,174.5,28.0,33470.47
BTC-21MAR25-94000-P,put,94000.0,2025-03-21,0.0,6590.9875,14074.9475,0.8,109.12,-0.78321,3e-05,-74.44623,58.02479,0.0,0.0,0.0
BTC-21MAR25-95000-C,call,95000.0,2025-03-21,978.0174999999999,935.4949999999999,1020.5400000000001,49.33,50.92,0.19231,3e-05,-69.61962,54.0299,115.6,71.1,80203.9
BTC-21MAR25-95000-P,put,95000.0,2025-03-21,0.0,7356.392499999999,14925.3975,0.8,111.08,-0.80769,3e-05,-69.61962,54.0299,0.0,0.0,0.0
BTC-21MAR25-96000-C,call,96000.0,2025-03-21,892.9725000000001,850.45,892.9725000000001,50.56,51.41,0.17149,3e-05,-65.42749,50.29192,116.6,88.0,82076.0
BTC-21MAR25-96000-P,put,96000.0,2025-03-21,0.0,8206.8425,15775.8475,0.8,112.89,-0.82851,3e-05,-65.42749,50.29192,0.0,0.0,0.0
BTC-21MAR25-100000-C,call,100000.0,2025-03-21,510.27000000000004,467.74749999999995,552.7925,51.79,54.13,0.10634,2e-05,-48.77908,36.2665,69.1,32.6,16005.45
BTC-21MAR25-100000-P,put,100000.0,2025-03-21,0.0,11693.687500000002,19517.8275,0.8,123.55,-0.89366,2e-05,-48.77908,36.2665,0.0,0.0,0.0
BTC-21MAR25-105000-C,call,105000.0,2025-03-21,272.144,263.6395,297.6575,55.37,56.79,0.06268,1e-05,-34.96591,24.35914,107.2,2.4,719.92
BTC-21MAR25-105000-P,put,105000.0,2025-03-21,0.0,16286.1175,24407.914999999997,0.8,137.87,-0.93732,1e-05,-34.96742,24.3602,0.0,0.0,0.0
BTC-21MAR25-110000-C,call,110000.0,2025-03-21,170.09,161.5855,195.6035,59.18,61.21,0.03897,1e-05,-25.51716,16.67415,64.7,15.2,2626.05
BTC-21MAR25-115000-C,call,115000.0,2025-03-21,119.063,110.5585,127.56750000000001,63.4,64.83,0.02694,0.0,-20.20899,12.29459,33.4,2.1,250.83
BTC-21MAR25-120000-C,call,120000.0,2025-03-21,93.54950000000001,85.045,110.5585,68.11,70.74,0.01957,0.0,-16.48143,9.3946,24.7,2.8,240.09
BTC-28MAR25-20000-C,call,20000.0,2025-03-28,64251.4975,65016.9025,65229.515,0.8,243.19,0.99933,0.0,-1.82659,0.53709,30.6,0.0,0.0
BTC-28MAR25-20000-P,put,20000.0,2025-03-28,8.5045,0.0,25.513499999999997,0.8,201.21,-0.00067,0.0,-1.82659,0.53709,648.9,0.0,0.0
BTC-28MAR25-30000-C,call,30000.0,2025-03-28,59531.49999999999,55024.115000000005,55321.7725,0.8,188.61,0.99821,0.0,-3.51788,1.31904,52.3,0.0,0.0
BTC-28MAR25-30000-P,put,30000.0,2025-03-28,17.009,8.5045,34.018,131.79,151.29,-0.00179,0.0,-3.51818,1.31915,871.1,5.2,87.22
BTC-28MAR25-40000-C,call,40000.0,2025-03-28,43543.04,45073.850000000006,45371.5075,0.8,142.49,0.99555,0.0,-6.41055,3.00094,39.4,0.0,0.0
BTC-28MAR25-40000-P,put,40000.0,2025-03-28,59.5315,25.513499999999997,51.026999999999994,108.23,117.23,-0.00445,0.0,-6.41115,3.00122,2598.0,7.3,279.42
BTC-28MAR25-45000-C,call,45000.0,2025-03-28,46477.0925,40098.7175,40438.8975,0.8,127.28,0.99296,0.0,-8.65831,4.51621,20.4,0.0,0.0
BTC-28MAR25-45000-P,put,45000.0,2025-03-28,68.036,51.026999999999994,68.036,100.32,104.09,-0.00704,0.0,-8.65831,4.51621,1799.4,11.7,836.23
BTC-28MAR25-50000-C,call,50000.0,2025-03-28,35081.0625,35166.1075,35421.2425,0.8,106.08,0.988,0.0,-12.52659,7.19772,254.2,0.3,10447.09
BTC-28MAR25-50000-P,put,50000.0,2025-03-28,93.54950000000001,76.5405,102.05399999999999,89.83,93.57,-0.012,0.0,-12.52438,7.19642,2875.9,11.0,1044.79
BTC-28MAR25-55000-C,call,55000.0,2025-03-28,37759.98,30233.497499999998,30573.677499999998,64.27,97.89,0.98181,0.0,-15.83324,10.2941,249.3,0.0,0.0
BTC-28MAR25-55000-P,put,55000.0,2025-03-28,136.072,119.063,153.081,80.44,83.74,-0.01819,0.0,-15.83299,10.29393,1438.6,12.9,1717.24
BTC-28MAR25-60000-C,call,60000.0,2025-03-28,21618.439,25300.887499999997,25598.545,61.64,81.8,0.97047,0.0,-21.1391,15.4773,515.1,0.0,0.0
BTC-28MAR25-60000-P,put,60000.0,2025-03-28,204.10799999999998,187.09900000000002,221.117,71.6,73.81,-0.02953,0.0,-21.13876,15.47705,1657.4,65.1,13525.96
BTC-28MAR25-65000-C,call,65000.0,2025-03-28,20495.844999999998,20495.844999999998,20793.5025,61.08,72.68,0.94969,1e-05,-29.01306,23.88629,1288.9,2.1,41870.51
BTC-28MAR25-65000-P,put,65000.0,2025-03-28,331.6755,323.171,348.6845,64.24,65.3,-0.05031,1e-05,-29.0126,23.88592,1896.1,107.5,35308.59
BTC-28MAR25-70000-C,call,70000.0,2025-03-28,16498.73,15690.8025,16073.505000000001,53.37,63.52,0.90938,1e-05,-41.05548,37.61771,1187.0,2.7,44286.22
BTC-28MAR25-70000-P,put,70000.0,2025-03-28,595.315,552.7925,637.8375,56.86,59.14,-0.09062,1e-05,-41.05548,37.61771,3658.2,98.7,60936.55
BTC-28MAR25-75000-C,call,75000.0,2025-03-28,12161.435,11268.462500000001,11651.165,50.29,56.93,0.83121,2e-05,-58.56887,58.05531,979.4,64.7,723505.12
BTC-28MAR25-75000-P,put,75000.0,2025-03-28,1190.63,1148.1075,1233.1525000000001,53.02,54.49,-0.1688,2e-05,-58.57061,58.05702,3447.7,153.8,202855.24
BTC-28MAR25-76000-C,call,76000.0,2025-03-28,7611.527499999999,10460.535,10843.237500000001,50.07,56.2,0.80985,2e-05,-62.30229,62.5731,11.0,0.0,0.0
BTC-28MAR25-76000-P,put,76000.0,2025-03-28,1445.765,1318.1975,1403.2425,52.26,53.63,-0.19015,2e-05,-62.30229,62.5731,41.3,17.6,26068.28
